daño,Predicción
hizo corto y me quede sin energia,ejecutar
tres viviendas se encuentran sin servicio por un corto en un poste,ejecutar
arrancaron el cable de energia,ejecutar
sin servicio de internet segundo piso,cancelar
posesion de cable de otra vivienda por encima del zinc de mi vivienda,cancelar
estan cruzados los contadores de energia,cancelar
tengo bajones de energia los cuales se presentan cada 40 minutos,cancelar
se baja y sube la luz y en momentos quedamos sin energia,ejecutar
una tractomula revento el cable y el contador quedo caido,cancelar
modificacion del cableado del vecino por que esta obstruyendo la construccion del segundo piso de mi predio,ejecutar
ya que me la me la cortaron por no pagar la,ejecutar
variacion de voltaje,cancelar
el taco principal de la torre se baja solo el de mi predio y es dano en el sector a  ya me habian venido a revisar,ejecutar
consumo alto,ejecutar
prende y apaga el contador y genera un sonido,ejecutar
robo de cable y no hay corriente,ejecutar
zona sin fluido electrico,cancelar
sin internet,cancelar
acometideas deanadeas,cancelar
arboles tocando las lineas y con 3l viento generan variacion de voltaje y me he quedado sin energia,ejecutar
robo de energia,ejecutar
cambio de voltaje,ejecutar
postes sin luz,ejecutar
no tengo internet,cancelar
no hay energia solo en mi predio y estamos al dia respecto a pagos,ejecutar
altroconsumo,cancelar
no hay energia,ejecutar
linea reventada,ejecutar
un ave se estrello provoco corto,ejecutar
fallas del voltaje del poste energia a la casa,ejecutar
no tengo servicio de energia,ejecutar
2 recibos an llegado en ceros eso quiere decir que el contador esta danado,cancelar
riesgo de cortocircuito,cancelar
lampara de poste fundida,cancelar
sin energia,cancelar
al contador se le han hecho tres revisiones,ejecutar
intermitencia de energia va y vuelve,cancelar
ayer colocaron un contador y por la tempestad de ayer se revento un cable del poste,cancelar
cuerdas de altas tension reventadas peligroso para la vida humana y animal,cancelar
no hay alumbrado publico interno del condominio,cancelar
dano de corto,ejecutar
se iban a robar el cable del contador y hicieron un corto,ejecutar
fue corte pero ayer fui a la oficina y hice un convenio para que recorte,ejecutar
se me cayo una linea,ejecutar
casa sin energia,cancelar
no enciende ninguna de las lamparas estamos a oscuras,cancelar
no tenemos energia,ejecutar
no llega buen voltaje a la casa y no me funcionan los electrodomesticos,ejecutar
sin energia,cancelar
todo el sector con bajones de energia,ejecutar
variacion del voltaje afecta electrodomesticos ocasionando danos,cancelar
desde el domingo se cayo una palma y revento las lineas,ejecutar
la falla es que debemos mover el contador porque estamos construyendo y pronto se quedara sin energia la propiedad,ejecutar
cuerdas de altas tension reventadas peligroso para la vida humana y animal,cancelar
poste de energia,ejecutar
nuevo horizonte,ejecutar
dano a sector a revision de contador q no genera factura,ejecutar
estamos en totalidad sin energia,ejecutar
no prende los aire ni unos bombillo,ejecutar
mala senal de internet,cancelar
venia presentando variacion de voltaje y que era por unos conectores que faltaban y ayer vinieron y pusieron los conectores y siguio la variacion del voltaje,cancelar
me llego casi el doble de cobro en el servicio,ejecutar
no hay energia,ejecutar
cuerda reventada,ejecutar
pues el parque triangular del barrio tulipanes 2,ejecutar
y el cable  esta en el suelo echando chispas y hay muchos ninos jugando,ejecutar
linea en corto,ejecutar
el cable que da energia para la casa se safo del poste y es un adulto mayor q esta solito sin el servicio se le va danar los alimentos q tiene en la  nevera,cancelar
desprendimiento del cable luz de la casa que va al contador,cancelar
linea reventada,ejecutar
poste con lampara danada,cancelar
no hay servicio de internet desde el dia viernes,cancelar
cuerdas de altas tension reventadas peligroso para la vida humana y animal,cancelar
sin luz,cancelar
la variacion en el consumo sigue elevandose y estan los mismos equipos,cancelar
desde hace 2 dias hay una variacion importante en la intensidad de la luz que incluso apaga las neveras,ejecutar
desde la manana habemos 7 locales comerciales sin servicio y nosotros manejamos biologicos vacunas y necesitamos nevera,cancelar
la linea fue reventada por un vehiculo se reporto dijeron que tenia que sacar el contador,cancelar
no hay servicio electrico en la vivienda cuerda caida,ejecutar
no prende la luminaria  la calle queda muy oscura,ejecutar
se revento el cable,ejecutar
aumento en consumo de energia,cancelar
sin energia,cancelar
sin energia,cancelar
es sacar un contadeor de un predeio y hacer el trasladeo a la calle,ejecutar
no hay energia solo en mi predio y estamos al dia respecto a pagos,ejecutar
necesito saber a que horas vienen a revisar el contador,ejecutar
sin la pila el seguia girando,cancelar
no hay servicio de energia desde el dia de ayer,cancelar
nuevo horizonte,ejecutar
sin energia hace 4 dias ,cancelar
linea que va al poste reventado,ejecutar
variacion de voltaje en el sector,ejecutar
sector con fluctuacion de voltaje chispea cuando venta,ejecutar
71615227,"Entrada inválida. Por favor, ingrese un texto coherente."
falla en el internet,cancelar
se requiere poda de arbol que esta tocando las redes y generando fluctuacion de voltaje,ejecutar
tengo flutuacion vinieron anteriormente pero no dejaron el servicio normalizado continuo con variacion no puedo conectar dos electrodomesticos juntos por que se dispara,ejecutar
hubo un apagon en el sector y mi casa sigue sin luz pero las demas casas ya tienen luz,ejecutar
sin razon aparente el contador de mi casa exploto,ejecutar
cayo un rayo y dano todo,ejecutar
sin servicio de energia,cancelar
empty,ejecutar
parpadea la luz y se va y vuelve mas fuerte,ejecutar
es falla de internet,cancelar
la luz esta inestable,cancelar
paso un camion y revento el cable y estamos sin energia solo en nuestra casa,ejecutar
no tengo energia mientras los demas si,ejecutar
no enciende la luz del poste y estamos a oscuras en la calle,ejecutar
toda la cuadra de la manzana 32 frente a la 30  esta sin energia  via principal,ejecutar
hay variacion en el voltaje de esta casa desde ayer,ejecutar
reventaron cuerda y estamos sin energia,ejecutar
presunto robo de contador frustrado,ejecutar
desde ayer en la tarde el voltaje de energia sube y baja,ejecutar
cayo un rayo y la linea  esta en el piso,ejecutar
que en mi casa no tengo luz,ejecutar
linea reventada,ejecutar
baja potencia,cancelar
paso un carro y revento la linea y esta generando peligro,ejecutar
llevo varios reportes y no me han enviado a revisar no soy el unico que tengo variacion en el voltaje deseo y necesito una pronta respuesta,ejecutar
corte de linea,ejecutar
solicito puedan voltear una caja que esta en el poste y que cuando llueve el agua se desvia hasta mi casa afectandome de manera considerable,cancelar
variacion de voltaje,cancelar
dano contador,ejecutar
sobre la calle 32 desde hace 1 un mes no se cuenta con el alumbrado publico,cancelar
acometida floja cuando pasan la mueven y me quedo sin energia,cancelar
cable de entrada no existe,cancelar
verificar falla en la red,ejecutar
cable de entrada no existe,cancelar
cortaron la linea que  lleva la energia al local,ejecutar
el voltaje se cae,ejecutar
el costo demasiado alto en el recibo,cancelar
solicitud de visita tecnica,cancelar
demasiado elevada la factura,ejecutar
no tengo energia,cancelar
un bus muy grande paso y revento las cuerdas dejando sin energia la casa ,ejecutar
toda la casa quedo sin energia,ejecutar
sin energia,cancelar
variacion de voltaje,cancelar
se va la energia electrica,cancelar
no llega energia a los postes de alumbrado publico,cancelar
ninguna es cambio de carga,cancelar
cayo un arbol sobre las cuerdas de energia y corto el suministro de aquella para varias casas del sector,ejecutar
la lampara del poste esta danada,cancelar
no deentro energia deebe de estar deanadeo,cancelar
corto,ejecutar
desde la manana esta sin energia el sector,ejecutar
mal hecha la reconexion y hay mucho,ejecutar
recoleccion de energia,ejecutar
la luz apaga y prende rapido,ejecutar
un ave se estrello provoco corto,ejecutar
hay poca energia,cancelar
no hay internet,cancelar
sin energia en la vivienda,ejecutar
no hay energia solo en mi predio y estamos al dia respecto a pagos,ejecutar
los bombillos varian de voltaje y se queman facilmente sobre todo en 2 puntos de la casa,ejecutar
poste sin energia,ejecutar
paso un camion y revento 3 cuerdas,ejecutar
desde las 7 de la manana que me encuentro despierto no hay luz en ciertas casas del barrio y algunas si,ejecutar
contador malo,ejecutar
mi queja es sobre el alumbrado publico,cancelar
el contador se quemo,ejecutar
el contador esta frenado y no marca consumo,ejecutar
el poste al frente de mi vivienda no tiene energia hace 3 dias,cancelar
mi factura llego con un valor muy alto,cancelar
corte energia velas caidas,ejecutar
no prenden las luminarias del parque hace 5 noches calle 37 b con 44,ejecutar
serebento el cable y sacaron el tubo de la caja,ejecutar
numero de radicado,ejecutar
sin energia por q un tren canero paso y tumbo el posted,ejecutar
sector con fluctuacion de voltaje chispea cuando venta,ejecutar
es en la cuadra no tiene energia las lamparas,ejecutar
esta tirando chispas el poste,ejecutar
problema en el contador,ejecutar
la energia sube y baja,cancelar
en estos dias ha venido presentandose tormentosas lluvias las cuales han desprendido las cuerdas de los postes y una de esta,cancelar
sin servicio,cancelar
se baja y sube la luz y en momentos quedamos sin energia,ejecutar
un camion revento la acometida de la casa de al frente,cancelar
viene de llamada anterior 355619506 asociada al incidente 145257093 dano en red secundaria salida del trafo,ejecutar
la luz se va y vuelve constantemente,ejecutar
reporte de danos,cancelar
no tengo energia,cancelar
la energia se encuentra con fallas de voltaje,ejecutar
camion revento contador y cuchilla y dejo casa sin energia,ejecutar
el consumo es muy alto,ejecutar
uno de mis apartamentos esta desocupado desde octubre del ano pasado y me llega una factura de 160,ejecutar
variacion de voltaje,cancelar
sin energia estable desde hace varios dias,cancelar
falla en el fluido electrico,ejecutar
no se pueden conectar muchos aparatos al tiempo porque se sube y baja la luz,ejecutar
no tengo energia en mi vivienda debido a un incendio en la calle,ejecutar
desde que pusieron el contador la energia no funciona adecuadamente dentro de la casa,cancelar
un cable de una lampara esta en el cerco de una casa de bareque,cancelar
una buseta revento el cable de la luz,cancelar
servicio intermitente cortes cada nada,ejecutar
no hay energia desde las 9,cancelar
empty,ejecutar
no hay internet,cancelar
paso una maquina y halo el cable del internet ya en dias anteriores sucedio lo,cancelar
se cayo un cable de luz de alta energia y dejo sin luz las casas de la parte de arriba de la mia y esta botando chispas en el piso,ejecutar
es una lampara de alumbrado publico q esta danada,cancelar
no pues como le digo esa cuerda debe estar suelta por q no pasa energia,cancelar
linea reventada,ejecutar
medidor fallando,cancelar
dano contador,ejecutar
esta en 88888,ejecutar
no pasa energia desde la principal porque se pasaron unos gallinazos,ejecutar
dano del contador ,ejecutar
no tengo energia,cancelar
hubo un corto anoche y se destruyeron varios cables,ejecutar
cables reventados y la acometida sector a,cancelar
no se porque se va el internet,cancelar
esta danado el contador,ejecutar
no tengo energia electrica en la casa,cancelar
caidas constantes de voltaje,cancelar
el contador marca rapidamente diferentes cifras y el recibo me llego demasiado alto,ejecutar
se presenta una lectura alta de  consumo y se tiene apagado todo,ejecutar
problema en bornera en poste,cancelar
cuerdas reventadas siendo un peligro para peatones,ejecutar
se presenta una lectura alta de  consumo y se tiene apagado todo,ejecutar
hola,ejecutar
variacion de voltaje,cancelar
corto,ejecutar
unos trabajadores nos comunicaron que un tractor que pasaba por alli revento la cuerda y en este momento esta echando chispa,ejecutar
hay poca energia,cancelar
paso una maquina y halo el cable del internet ya en dias anteriores sucedio lo,cancelar
empty,ejecutar
una linea de internet reventadas,cancelar
corto en el contador,ejecutar
se queman los electrodomesticos,ejecutar
el tubo del cable se partio,ejecutar
un carro hizo caer la cuerda,ejecutar
no tengo energia,cancelar
sin servicio,cancelar
esta parpadeando la energia y en momentos se va totalmente,ejecutar
mi queja es sobre el alumbrado publico,cancelar
no hay voltaje suficiente,ejecutar
muy alto el consumo de energia,cancelar
hay un poste echando chispas y esta que se incendia,ejecutar
un vehiculo revento el cable desde el poste,cancelar
reconexion del servicio,cancelar
no hay fluido de luz en el sitio,ejecutar
en la casa unas partes hay energia y en otras no,ejecutar
a mano izquierda se cayo un arbol sobre el cableado,ejecutar
1 huella a mano derecha subiendo,ejecutar
empezamos con bajones de luz hace como 10 dias el cual nos ha danado la nevera la olla arrocera y el televisor y ayer nos quedamos sin ya energia  ya mandaron a una persona el domingo y ni hicieron nada por ellos no eran de caja sino de transformadores y quedaron de madar a alguien y nada,ejecutar
casa sin energia,cancelar
sin energia,cancelar
no esta funcionando,cancelar
sin luz,cancelar
factura me esta llegando muy elevada el conteo que tiene la factura no es el mismo conteo que hay en el contador,ejecutar
2 lamparas del alumbrado publico no funcionan,cancelar
no hay energia,ejecutar
se fue el servicio debido a las lluvias,ejecutar
no tengo energia danaron la cuerda,cancelar
toco bajar tacos previniendo danos en los electrodomesticos,ejecutar
variacion de voltaje sin energia dano de electrodomesticos,ejecutar
falla del servicio publico,cancelar
es en la cuadra no tiene energia las lamparas,ejecutar
tormenta dano transformador,cancelar
bajones de energia,ejecutar
sin la pila el seguia girando,cancelar
la luminaria de la calle no funciona desde el lunes,cancelar
lo despegamos para hacer una pared nueva en la casa,ejecutar
servicio intermitente cortes cada nada,ejecutar
no ha internet y el cable esta regado en toda la calle,cancelar
fallas del voltaje del poste energia a la casa,ejecutar
bombilla del poste esta apagada,ejecutar
lq lampara que esta en el poste no sirve nofa iluminacion,cancelar
voltage,ejecutar
todos los postes sobre la calle 26 se encuentran apagados a la hora y llevan mas de 3 dias asi,ejecutar
no hay luz,cancelar
cables desconectados,cancelar
un camion revento la acometida de la casa de al frente,cancelar
esta pasando energia a una pared,ejecutar
sin energia local,ejecutar
sector con fluctuacion de voltaje chispea cuando venta,ejecutar
el tuvo que sale del contador se dano,cancelar
postes sin energia,ejecutar
el contador es a 220 y solo funciona una fase que viene desde la cometida principal,cancelar
sector cine negros,cancelar
bajon de energia,ejecutar
se revento el cable de alta tension y esta en el suelo,ejecutar
poste se quemo y no hay energia en 3 casas,cancelar
un bus muy grande paso y revento las cuerdas dejando sin energia la casa ,ejecutar
cuadra sin servicio de alumbrado publico,cancelar
cortocircuito,cancelar
robo de cable y estamos sin energia,ejecutar
revisar el contador de energia para saber si esta danado,cancelar
un tronco de palma cayo en la linea de energia que entra para la casa,ejecutar
desconexion total de energia,cancelar
el electricista dice que un fase esta caida,ejecutar
no hay energia,ejecutar
se me cayo una linea,ejecutar
solicito revision por alto consumo,ejecutar
pues que se va a reventar el cable de energia y nos va a dejar el dano,ejecutar
no pasa energia desde la principal porque se pasaron unos gallinazos,ejecutar
los bombillos varian de voltaje y se queman facilmente sobre todo en 2 puntos de la casa,ejecutar
sin energia toda la verdad,ejecutar
sin servicio de alumbrado,cancelar
hay bajones de energia que se me apaga el televisor,ejecutar
amaneci sin internet es que en la madrugada paso un camion grande y se llevo casi todo el cable del internet quedo tirado en la calle,cancelar
variacion de voltaje,cancelar
un carro que desconectar el cable de la energia del poste,cancelar
no funciona la maquina por alto voltaje,cancelar
sin energias en algunas areas de la casa,ejecutar
la linea de ebergia esta en la mitad de la pared de la casa y esta  obstruyendo el paso,cancelar
no hay luz,cancelar
las cuerdas del poste a la casa estan votando chispas de energia,ejecutar
a 5 minutos de san vicente caserio de pueblo nuevo,ejecutar
mi consumo anterior mente era de 20,ejecutar
sin energia,cancelar
empty,ejecutar
quiero reportar predio desocupado,ejecutar
sin energia,cancelar
el contador es a 220 y solo funciona una fase que viene desde la cometida principal,cancelar
necesito una revision,ejecutar
el posta de la luz se encuentra si alumbrado y hurtaron cosas de mi casa por oscuridad en el sector,cancelar
poste sin alumbrado,cancelar
el poste al frente de la casa calle 27 b ,ejecutar
poste con lampara danada,cancelar
arboles tocando las lineas y con 3l viento generan variacion de voltaje y me he quedado sin energia,ejecutar
sin energia,cancelar
cayo un arbol en la red y esta votando chispas,cancelar
no hay senal de internet,cancelar
la acometida esta descolgada,cancelar
despues de una tormenta el dia de ayer,cancelar
edificio sin energia,cancelar
no han vuelto a reinstalar la luz desde ayer se pago el recibo,ejecutar
callo un rayo y quemo el medidor,cancelar
ha variacion en el voltaje,ejecutar
los bombillos prenden y apagan y tiene bajo es de energia y solo pasa en mi apartamento los otros no,ejecutar
tengo videos referentes al tema,cancelar
sin energia en varias casas,ejecutar
sin servicio de energia desde hace una hora,ejecutar
traiamos un consumo normal y de un momento a otro se disparo el consumo y no se ha colocado nada nuevo para que presente este alto consumo,cancelar
dias atras se callero,ejecutar
presunto robo de contador frustrado,ejecutar
la bombilla no volvio aprender,ejecutar
no hay internet,cancelar
sin energia,cancelar
no hay conexion a internet,cancelar
se cayo  un cable impide utilizar la puerta garaje de la casa,cancelar
se encuentran sueltos los cables de alta que envia la corriente ala casa,cancelar
estan llegando facturas por ,ejecutar
4 casas del sector se encuentran sin energia desde el dia viernes 18 de octubre,ejecutar
no prende los aire ni unos bombillo,ejecutar
energia con variacion en todo el sector,ejecutar
no servicio,cancelar
cayo un rayo y dano todo,ejecutar
no tengo servicio de energia en mi predio,ejecutar
el contador no sirve estamos sin luz hace 5 dias,cancelar
no tengo energia danaron la cuerda,cancelar
se cae el voltaje,ejecutar
se revento el cometida,cancelar
baja y sube la energia a cada rato,ejecutar
variacion de voltaje  ya verifica por cuadrilla de ams dano en transformador,cancelar
consumo alto,ejecutar
voltaje variable recibo altisimo,ejecutar
al conectar electrodomesticos o encender los bombillos baja la energia,ejecutar
tension muy baja 103,cancelar
la casa enciende en ciertos sectores y en otros no,cancelar
desde el domingo se cayo una palma y revento las lineas,ejecutar
la iluminacion de los postes del alumbrado publico prenden y apagan constantemente,cancelar
sin servicio,cancelar
sin energia en antena,cancelar
tolima,ejecutar
se revento el cable que va de la calle al local,ejecutar
esta la luz muy baja,cancelar
no hay energia en la zona verde,cancelar
la bombilla de la puerta se fundio en el poste ,cancelar
se llevaron el cable del poste al contador estoy sin luz,ejecutar
factura me esta llegando muy elevada el conteo que tiene la factura no es el mismo conteo que hay en el contador,ejecutar
falla en lampara del alumbrado publico,cancelar
corte de energia,cancelar
necesito una revision en el contador por que presiento que estan conectados a mi linea,ejecutar
vereda lugo casa sin energia,cancelar
no hay energia,ejecutar
bajo voltaje,cancelar
estamos en totalidad sin energia,ejecutar
dano del transformador,cancelar
un camion revento un cable,ejecutar
sin alumbrado publico,cancelar
no hay energia,ejecutar
corte total de energia,ejecutar
cayo un arbol sobre las cuerdas de energia y corto el suministro de aquella para varias casas del sector,ejecutar
cuadra sin servicio de alumbrado publico,cancelar
reventaron una cuerda del contador,ejecutar
sector con fluctuacion de voltaje chispea cuando venta,ejecutar
se va y vuelve la energia y me dano una nevera,ejecutar
incendio de medidor de casa,cancelar
incendio en transformador,ejecutar
sin energia,cancelar
la bombilla no funciona,cancelar
bajon de energia en la vivienda,ejecutar
no hay alumbrado publico,cancelar
me esta llegando el recibo en 0 y hay consumo de energia,ejecutar
hay un la cuerda principal que esta en llamas,ejecutar
verificar falla en la red,ejecutar
iluminaria danada,ejecutar
se va la energia y vuelve,ejecutar
varias casas sin servicio,ejecutar
linea reventada llamar al senor hector 3164243954,ejecutar
hace dos dias la energia de mi casa esta variando el voltaje y los bombillos titilan todo el tiempo,ejecutar
sube y baja el voltaje,ejecutar
la energia esta bajita,ejecutar
cambiaron un poste y la luz no es estable en mi casa,ejecutar
no esta consumiendo,cancelar
vereda sin energia desde hace 15 dias,cancelar
sin servicio en todo el sector,ejecutar
posesion de cable de otra vivienda por encima del zinc de mi vivienda,cancelar
es que la factura esta yegando muy cara por el mes pasado yego en 75 mil este mes 96 mil no tenemos quiero una revision por esta muy cara la factura gracias,ejecutar
los pilotos continuamente encienden y apagan mostrando la variacion antes reportada,ejecutar
se sube y se baja la luz y hay tres casas que falla como la luz cuando se baja aca en mi casa en las otras tambien,ejecutar
las cuerdas totiada,ejecutar
no esta leyendo la carga,cancelar
desprendimiento cable del poste por borrasca,ejecutar
desde ayer estamos sin energia 4 casas,ejecutar
dano en los electrodomesticos por costos generados por ramas sobre la red secundaria,ejecutar
llevamos 4 dias sin internet y los linderos van y cierran el caso,cancelar
empty,ejecutar
transformador echando candela,ejecutar
variacion,cancelar
sin energia peligro,ejecutar
no hay energia local,ejecutar
al parecer un cable se solto,cancelar
no tengo luz,cancelar
tren canero tumba el,ejecutar
ausencia de voltaje en la linea 2 y voltaje bajo en linea 3,cancelar
cajon de energia,ejecutar
se organizo el dano q reporte ayer pero los cables q dan energia a la casa estan muy quemados se quemo la acomerida,cancelar
se me cayo una linea,ejecutar
quiero revisiones de las conexiones el recibo llega muy alto,ejecutar
el contador de la casa esta danado,ejecutar
cable ubicado en losa con signos visibles de malla expuesta en intemperie,ejecutar
facturacion elevada,ejecutar
aumento de cobro,ejecutar
la energia es muy debil,cancelar
mi queja es sobre el alumbrado publico,cancelar
cable ubicado en losa con signos visibles de malla expuesta en intemperie,ejecutar
predio sin energia,cancelar
cuerdas de acometidas reventadas por paso de un vehiculo,cancelar
a 5 minutos de san vicente caserio de pueblo nuevo,ejecutar
cable de alta tension a punto de caerse al frente del predio,ejecutar
danos en el cable,ejecutar
hay una carga alta en el contador lo que ha generado que se derrita un cable,ejecutar
sin energia,cancelar
8 viviendas sin energia sector sin energia,cancelar
bombilla de alumbrado publico fallando,cancelar
cancelar internet,cancelar
la acometida se safo de poste no llega el voltaje completo me toco conectar del 2 piso con una extencion por que estoy sin energia,cancelar
no enciende la luz del poste hace 3 dias,cancelar
bajones de energia,ejecutar
se organizo el dano q reporte ayer pero los cables q dan energia a la casa estan muy quemados se quemo la acomerida,cancelar
linea reventada,ejecutar
es falla de internet,cancelar
no enciende la luz del poste hace 3 dias,cancelar
se subio la energia,cancelar
no hay fluido de luz en el sitio,ejecutar
no hay luz desde ayer en la manana,cancelar
fluctuacion de voltaje,ejecutar
no es un corto porque los breaks no se han disparado yo creo que es un cable que esta medio mochado,ejecutar
variacion de voltaje,cancelar
muy bajo voltaje no arranca  la nevera,ejecutar
corto,ejecutar
solicito q vengan el sector a para rebicion del medidor de mi casa,cancelar
fue corte pero ayer fui a la oficina y hice un convenio para que recorte,ejecutar
los cables estan flojos y al,ejecutar
tengo un negocio hace dos dias no lo he podido abrir  ayer fueron los de celsia quitaron la energia,ejecutar
no hay poste para acometidas cercanas,cancelar
pues nos habian cortado la energia ya casi 20 dias y los que vinieron acortarla se llevaron el taco,ejecutar
sin luz  en el poste diagonal a mi casa,ejecutar
esta llegando alterado el recibo,ejecutar
poca energia,cancelar
sector sin servicio,cancelar
en la casa unas partes hay energia y en otras no,ejecutar
el predio sin energia,cancelar
alumbrado publico sin servicio,cancelar
estan la cuerda de la luz muy colgante,ejecutar
tormenta dano transformador,cancelar
se callo una palma y revento el cable de ambos lados,ejecutar
no tengo servicio de energia,ejecutar
un poste presenta fuego y humo,ejecutar
estamos en totalidad sin energia,ejecutar
85,"Entrada inválida. Por favor, ingrese un texto coherente."
camion paso y rompio la linea de internet,cancelar
el cobro de mi energia es muy alto,ejecutar
un apagon y las tomas y algunos bombillos sin energia,ejecutar
hay unas casas q tiene,ejecutar
constantemente va y vuelve el servicio,ejecutar
subida de consumo excesivo y falla en el codigo de contador de los dos pisos,ejecutar
varios locales sin energia,cancelar
sin servicio de energia,cancelar
mi predio esta desocupado varios meses,ejecutar
variacion de voltaje solo en la finca santa lucia y se me estan danando los electrodomesticos,ejecutar
ayer colocaron un contador y por la tempestad de ayer se revento un cable del poste,cancelar
hola buenas tardes,ejecutar
lampara de poste que no prende,cancelar
luminarias sin energia al rededor del sector las cuales dejan vulnerables a los habitantes para hurtos y violencia en general,ejecutar
no pues como le digo esa cuerda debe estar suelta por q no pasa energia,cancelar
el numero de medidor no corresponde al de la factura,cancelar
el contador al parecer esta fallando,ejecutar
hubo un corto anoche y se destruyeron varios cables,ejecutar
se revento el cable,ejecutar
lamparas apagadas,ejecutar
sin iluminacion,ejecutar
todos los postes sobre la calle 26 se encuentran apagados a la hora y llevan mas de 3 dias asi,ejecutar
ha variacion en el voltaje,ejecutar
verificar falla en la red,ejecutar
mi reporte 354414276 dicen que le corresponde a los de la acometida,cancelar
variacion exagerada de energia en el enchufe de la lavadora y la nevera,ejecutar
esta baja la luz conecto nevera y se ba,ejecutar
se cayo un arbol y revento cuerdas esta con chispas,ejecutar
factura me esta llegando muy elevada el conteo que tiene la factura no es el mismo conteo que hay en el contador,ejecutar
cuerda reventada,ejecutar
la verdad es para regular la corriente que esta entrando ya que la bomba trabaja con 220 voltios,ejecutar
datos del medidor,cancelar
recibo de servicio publico por costo elevado,ejecutar
cable danado por volqueta,ejecutar
contador no marca,ejecutar
no conexion del cable del poste hacia la casa,ejecutar
el poste frente a la direccion mencionada se encuentra sin energia,cancelar
incendio de medidor de casa,cancelar
luminarias sin energia al rededor del sector las cuales dejan vulnerables a los habitantes para hurtos y violencia en general,ejecutar
no hay energia,ejecutar
no tengo energia mientras los demas si,ejecutar
la energia no es estable,ejecutar
falla de internet,cancelar
se fue la luz,ejecutar
alteracion del consumo,ejecutar
la luminaria de la calle no funciona desde el lunes,cancelar
en el breke del conductor de afuera de la casa esta hechando chispa en un cable y hace titiritiar los bombillos de la casa,cancelar
sin luz,cancelar
no hay internet,cancelar
el cable esta suspendido por toda la carretera,cancelar
paso un carro grande y tumbo el medidor,ejecutar
los bombillos estan titilando intermitente,ejecutar
son las lamparas de alumbrado publico,cancelar
voltaje insuficiente,cancelar
desde que pusieron el contador la energia no funciona adecuadamente dentro de la casa,cancelar
solicito revision por alto consumo,ejecutar
se revento  la cuerda,cancelar
variacion de voltaje,cancelar
tuve suspension  de servicio por no pago,cancelar
es que resulta que pusieron un poste nuevo pero no movieron los medidores del riel al poste nuevo,cancelar
arboles tocando las lineas y con 3l viento generan variacion de voltaje y me he quedado sin energia,ejecutar
lineas reventadas,ejecutar
no hay servicio desde hace 3 dias,cancelar
bajones de energia constante y ya me dano unos electrodomesticos,ejecutar
se cayo un arbol y revento cuerdas esta con chispas,ejecutar
ninguna es cambio de carga,cancelar
dano contador,ejecutar
suena duro un corto en la red alrededor de mi casa,ejecutar
no contamos con energia,ejecutar
cuando enciendo los electrodomesticos se apagan las luces y baja el voltaje en la casa y ya han vendio 2 veces y nada que me solucionan el problema,ejecutar
desde la manana esta sin energia el sector,ejecutar
sector hace dos meses con fluctuacion de energia ya hicieron revisiones internas no es interno,cancelar
la factura cada mes aumenta mas,ejecutar
sin servicio de luz,ejecutar
se me revento la acometida,cancelar
dano de energia,cancelar
por favor sin energia en el sector por favor ayuda,ejecutar
bajon de energia,ejecutar
desde la manana habemos 7 locales comerciales sin servicio y nosotros manejamos biologicos vacunas y necesitamos nevera,cancelar
sector con variacion de voltaje,ejecutar
se llevaron el cable del poste al contador estoy sin luz,ejecutar
sector sin servicio de alumbrado publico,cancelar
no tengo internet desde las 9 am,cancelar
cable reventado por un camion,ejecutar
si desconecto todo y bajo los automaticos sigue habiendo energia alimentando parte de mi casa,ejecutar
hubo un dano de el transformador afuera en la calle y despues que vinieron a solucionar,ejecutar
estamos en totalidad sin energia,ejecutar
servicio intermitente cortes cada nada,ejecutar
se robaron el contador de la energia,ejecutar
al suspender el flujo de energia ,ejecutar
problema en el contador,ejecutar
estoy sin internet estando al dia con el pago,cancelar
se cayo un arbol,cancelar
se salta el taco,ejecutar
se va la energia en cada instante,ejecutar
se fue la energia,ejecutar
necesito q el cable del poste hacia la casa este mas largo,ejecutar
linea caida en la finca del senor orlain  giraldo,ejecutar
tenemos,ejecutar
alteracion de la lectura de mi predio,ejecutar
el cable esta descolgado y los carros que pasan lo pueden reventar,ejecutar
el wifi es muy lento,cancelar
tuve visita de dos funcionarios de celsia los cuales dijeron que habia una queja por alto consumo y que ivan a cambiar el contador hable con el lector y me dice que el no ha reportado nada,ejecutar
varios locales sin energia,cancelar
linea reventada por arbol caido,ejecutar
energia intermitente,cancelar
cayo arbol y revento cables de energia y tambien afecto el cable del internet tambien de celsia esto es desde el sabado,cancelar
muy pocas personas en la casa para el costo tan elevado q llega en la factura,ejecutar
buena noche,cancelar
sin servicio de alumbrado,cancelar
consumo maximode energia,ejecutar
esquina,cancelar
el voltaje varia y no funcionan los electrodomesticos,ejecutar
lo despegamos para hacer una pared nueva en la casa,ejecutar
no hay energia desde las 9,cancelar
hay fuego en el poste,ejecutar
no tenemos internet,cancelar
no hay luz,cancelar
el cable del poste se solto,ejecutar
hay dos lamparas que no prenden,cancelar
la lampara de alumbrado publico de la via de acceso a mi vivienda no funciona con normalidad,cancelar
poste con energia intermitente,cancelar
aumento en la factura,cancelar
no hay voltaje suficiente,ejecutar
contador caido y sin tapa,cancelar
la casa quedo con muy poca energia y no le llegan a la nevera ni a los televisores solo prenden los focos,ejecutar
